code,organisation_long,disciplines
2005708,Paris 2024 Boxing Unit,BOX
2005709,Paris 2024 Boxing Unit,BOX
2005710,Canada,BOX
2005711,Argentina,BOX
2005712,Paris 2024 Boxing Unit,BOX
2005713,Hungary,BOX
2005714,Australia,BOX
2005715,Great Britain,BOX
2005716,Paris 2024 Boxing Unit,BOX
2005717,Chinese Taipei,BOX
2005718,Paris 2024 Boxing Unit,BOX
2005719,Paris 2024 Boxing Unit,BOX
2005720,Paris 2024 Boxing Unit,BOX
2005721,Paris 2024 Boxing Unit,BOX
2005722,Republic of Korea,BOX
2005723,Paris 2024 Boxing Unit,BOX
2005724,Republic of Korea,BOX
2005725,Paris 2024 Boxing Unit,BOX
2005726,Paris 2024 Boxing Unit,BOX
2005727,Paris 2024 Boxing Unit,BOX
2005728,Paris 2024 Boxing Unit,BOX
2005729,Paris 2024 Boxing Unit,BOX
2005730,Paris 2024 Boxing Unit,BOX
2005731,Paris 2024 Boxing Unit,BOX
2005733,Paris 2024 Boxing Unit,BOX
2005734,Paris 2024 Boxing Unit,BOX
2005735,Paris 2024 Boxing Unit,BOX
2005737,Paris 2024 Boxing Unit,BOX
2014175,Paris 2024 Boxing Unit,BOX
2014176,Kazakhstan,BOX
2014177,Sri Lanka,BOX
2014178,India,BOX
2014179,Paris 2024 Boxing Unit,BOX
2014180,Paris 2024 Boxing Unit,BOX
2014182,Paris 2024 Boxing Unit,BOX
2014183,Indonesia,BOX
2014230,Morocco,BOX
2014600,Paris 2024 Boxing Unit,BOX
2481849,Paris 2024 Boxing Unit,BOX
2871936,Paris 2024 Boxing Unit,BOX
2871948,Paris 2024 Boxing Unit,BOX
2871958,Paris 2024 Boxing Unit,BOX
2871969,Paris 2024 Boxing Unit,BOX
2871999,Paris 2024 Boxing Unit,BOX
2872012,Philippines,BOX
2872023,Morocco,BOX
2872035,Islamic Republic of Iran,BOX
2872046,Algeria,BOX
2872050,Mongolia,BOX
2872377,Paris 2024 Boxing Unit,BOX
2872584,Paris 2024 Boxing Unit,BOX
2872818,Islamic Republic of Iran,BOX
2873696,Paris 2024 Boxing Unit,BOX
2873804,Paris 2024 Boxing Unit,BOX
2873953,Paris 2024 Boxing Unit,BOX
2875808,Paris 2024 Boxing Unit,BOX
2876696,Paris 2024 Boxing Unit,BOX
3518627,Paris 2024 Boxing Unit,BOX
4654128,Paris 2024 Boxing Unit,BOX
4654138,Germany,BOX
1988167,Slovakia,BKG
1997639,Germany,BKG
1997650,France,BKG
1997675,Spain,BKG
1997676,Ukraine,BKG
1998243,Brazil,BKG
2003348,Republic of Korea,BKG
2008524,Japan,BKG
2310748,United States of America,BKG
4193219,People's Republic of China,BKG
1906878,Union Cycliste Internationale,BMX
1941151,Union Cycliste Internationale,BMX
1941779,Australia,BMX
1941791,Great Britain,BMX
1943350,Great Britain,BMX
1949352,Argentina,BMX
1956115,United States of America,BMX
1956714,France,BMX
1957925,Italy,BMX
2490916,Union Cycliste Internationale,BMX
2490918,Union Cycliste Internationale,BMX
2490919,Union Cycliste Internationale,BMX
1990684,United States of America,FBL
1990685,Germany,FBL
1990686,Tonga,FBL
1990687,Italy,FBL
1990688,Brazil,FBL
1990690,Great Britain,FBL
1990691,Great Britain,FBL
1990692,Germany,FBL
1990693,New Zealand,FBL
1990695,Portugal,FBL
1990697,Italy,FBL
1990698,Jordan,FBL
1990700,Australia,FBL
1990702,Republic of Korea,FBL
1990703,United States of America,FBL
1990704,Great Britain,FBL
1990705,Spain,FBL
1990706,France,FBL
1990707,Great Britain,FBL
1990710,Netherlands,FBL
1990711,Canada,FBL
1990714,Uruguay,FBL
1990715,Japan,FBL
1990716,Guatemala,FBL
1990717,Germany,FBL
1990718,Portugal,FBL
1990719,People's Republic of China,FBL
1990720,Kyrgyzstan,FBL
1990721,Egypt,FBL
1990736,Jamaica,FBL
1994510,Palestine,FBL
2005147,Brazil,FBL
2005151,United Arab Emirates,FBL
2005153,Brazil,FBL
2005159,Mauritania,FBL
2005161,Kyrgyzstan,FBL
2005166,Venezuela,FBL
2005170,Serbia,FBL
2005179,Norway,FBL
2005180,Argentina,FBL
2005181,Uruguay,FBL
2005182,Canada,FBL
2005183,Mexico,FBL
2005188,Morocco,FBL
2005189,New Zealand,FBL
2005190,Republic of Korea,FBL
2005191,Denmark,FBL
2005193,France,FBL
2005195,Honduras,FBL
2005200,Sweden,FBL
2005201,Sweden,FBL
2005206,United States of America,FBL
2005218,Great Britain,FBL
2005219,Japan,FBL
2009147,Jamaica,FBL
2009149,Sudan,FBL
2009154,Uzbekistan,FBL
2009168,Uganda,FBL
2288825,Islamic Republic of Iran,FBL
3521177,Great Britain,FBL
1994151,International Handball Federation,HBL
1994152,International Handball Federation,HBL
1994153,International Handball Federation,HBL
1994154,International Handball Federation,HBL
1994155,International Handball Federation,HBL
1994156,International Handball Federation,HBL
1994157,International Handball Federation,HBL
1994158,International Handball Federation,HBL
1994159,International Handball Federation,HBL
1994160,International Handball Federation,HBL
1994161,International Handball Federation,HBL
1994162,International Handball Federation,HBL
1994163,International Handball Federation,HBL
1994164,International Handball Federation,HBL
1994165,International Handball Federation,HBL
1994166,International Handball Federation,HBL
1994167,International Handball Federation,HBL
1994168,International Handball Federation,HBL
1994169,International Handball Federation,HBL
1994170,International Handball Federation,HBL
1994171,International Handball Federation,HBL
1994172,International Handball Federation,HBL
1994173,International Handball Federation,HBL
1994174,International Handball Federation,HBL
1994175,International Handball Federation,HBL
1994177,International Handball Federation,HBL
1994178,International Handball Federation,HBL
1994179,International Handball Federation,HBL
1994180,International Handball Federation,HBL
1994181,International Handball Federation,HBL
1994182,International Handball Federation,HBL
1994183,International Handball Federation,HBL
2844406,Spain,HBL
2844513,Norway,HBL
2844649,Switzerland,HBL
2844759,Sweden,HBL
3047340,Montenegro,HBL
3047342,Algeria,HBL
3047343,Algeria,HBL
3047344,Argentina,HBL
3047345,Argentina,HBL
3047346,Bosnia and Herzegovina,HBL
3047347,Bosnia and Herzegovina,HBL
3047348,Czechia,HBL
3047349,Czechia,HBL
3047350,Denmark,HBL
3047351,Denmark,HBL
3047352,Spain,HBL
3047353,Spain,HBL
3047354,France,HBL
3047355,France,HBL
3047356,Germany,HBL
3047357,Germany,HBL
3047358,Germany,HBL
3047359,Germany,HBL
3047360,Hungary,HBL
3047361,Hungary,HBL
3047362,North Macedonia,HBL
3047363,North Macedonia,HBL
3047364,Montenegro,HBL
3047365,Norway,HBL
3047366,Slovenia,HBL
3047367,Slovenia,HBL
3047368,Switzerland,HBL
3047369,Sweden,HBL
1937992,Australia,HOC
1937993,Ireland,HOC
1937994,New Zealand,HOC
1937996,Trinidad and Tobago,HOC
1938000,Singapore,HOC
1938001,Great Britain,HOC
1938002,New Zealand,HOC
1938004,Japan,HOC
1938006,Argentina,HOC
1938007,New Zealand,HOC
1938008,Great Britain,HOC
1938009,Singapore,HOC
1938010,Argentina,HOC
1938014,Netherlands,HOC
1938015,Netherlands,HOC
1938016,Belgium,HOC
1938019,Poland,HOC
1938022,Great Britain,HOC
1938024,Great Britain,HOC
1938030,Great Britain,HOC
1938032,Australia,HOC
1942353,South Africa,HOC
1943476,South Africa,HOC
1948013,South Africa,HOC
1948034,India,HOC
2492445,Australia,HOC
