event,sport_code,medal_code,medal_type,name,medal_date
Men's Greco-Roman 130kg,WRE,2,Silver,Yasmani ACOSTA FERNANDEZ,2024-08-06
Men's Greco-Roman 130kg,WRE,3,Bronze,Amin MIRZAZADEH,2024-08-06
Men's Greco-Roman 130kg,WRE,3,Bronze,MENG Lingzhe,2024-08-06
Men's Greco-Roman 60kg,WRE,1,Gold,FUMITA Kenichiro,2024-08-06
Men's Greco-Roman 60kg,WRE,2,Silver,CAO Liguo,2024-08-06
Men's Greco-Roman 60kg,WRE,3,Bronze,Zholaman SHARSHENBEKOV,2024-08-06
Men's Greco-Roman 60kg,WRE,3,Bronze,RI Se Ung,2024-08-06
Men's Greco-Roman 67kg,WRE,1,Gold,Saeid ESMAEILI LEIVESI,2024-08-08
Men's Greco-Roman 67kg,WRE,2,Silver,Parviz NASIBOV,2024-08-08
Men's Greco-Roman 67kg,WRE,3,Bronze,Hasrat JAFAROV,2024-08-08
Men's Greco-Roman 67kg,WRE,3,Bronze,Luis Alberto ORTA SANCHEZ,2024-08-08
Men's Greco-Roman 77kg,WRE,1,Gold,KUSAKA Nao,2024-08-07
Men's Greco-Roman 77kg,WRE,2,Silver,Demeu ZHADRAYEV,2024-08-07
Men's Greco-Roman 77kg,WRE,3,Bronze,Malkhas AMOYAN,2024-08-07
Men's Greco-Roman 77kg,WRE,3,Bronze,Akzhol MAKHMUDOV,2024-08-07
Men's Greco-Roman 87kg,WRE,1,Gold,Semen Sergeevich NOVIKOV,2024-08-08
Men's Greco-Roman 87kg,WRE,2,Silver,Alireza MOHMADIPIANI,2024-08-08
Men's Greco-Roman 87kg,WRE,3,Bronze,Zhan BELENIUK,2024-08-08
Men's Greco-Roman 87kg,WRE,3,Bronze,Turpal Ali BISULTANOV,2024-08-08
Men's Greco-Roman 97kg,WRE,1,Gold,Mohammadhadi SARAVI,2024-08-07
Men's Greco-Roman 97kg,WRE,2,Silver,Artur ALEKSANYAN,2024-08-07
Men's Greco-Roman 97kg,WRE,3,Bronze,Gabriel Alejandro ROSILLO KINDELAN,2024-08-07
Men's Greco-Roman 97kg,WRE,3,Bronze,Uzur DZHUZUPBEKOV,2024-08-07
Women's Freestyle 50kg,WRE,1,Gold,Sarah Ann HILDEBRANDT,2024-08-07
Women's Freestyle 50kg,WRE,2,Silver,Yusneylis GUZMAN LOPEZ,2024-08-07
Women's Freestyle 50kg,WRE,3,Bronze,SUSAKI Yui,2024-08-07
Women's Freestyle 50kg,WRE,3,Bronze,FENG Ziqi,2024-08-07
Women's Freestyle 53kg,WRE,1,Gold,FUJINAMI Akari,2024-08-08
Women's Freestyle 53kg,WRE,2,Silver,Lucia Yamileth YEPEZ GUZMAN,2024-08-08
Women's Freestyle 53kg,WRE,3,Bronze,CHOE Hyo Gyong,2024-08-08
Women's Freestyle 53kg,WRE,3,Bronze,PANG Qianyu,2024-08-08
Women's Freestyle 57kg,WRE,1,Gold,SAKURAI Tsugumi,2024-08-09
Women's Freestyle 57kg,WRE,2,Silver,Anastasia NICHITA,2024-08-09
Women's Freestyle 57kg,WRE,3,Bronze,Helen Louise MAROULIS,2024-08-09
Women's Freestyle 57kg,WRE,3,Bronze,HONG Kexin,2024-08-09
Women's Freestyle 62kg,WRE,1,Gold,MOTOKI Sakura,2024-08-10
Women's Freestyle 62kg,WRE,2,Silver,Iryna KOLIADENKO,2024-08-10
Women's Freestyle 62kg,WRE,3,Bronze,Aisuluu TYNYBEKOVA,2024-08-10
Women's Freestyle 62kg,WRE,3,Bronze,Grace Jacob BULLEN,2024-08-10
Women's Freestyle 68kg,WRE,1,Gold,Amit ELOR,2024-08-06
Women's Freestyle 68kg,WRE,2,Silver,Meerim ZHUMANAZAROVA,2024-08-06
Women's Freestyle 68kg,WRE,3,Bronze,Buse CAVUSOGLU TOSUN,2024-08-06
Women's Freestyle 68kg,WRE,3,Bronze,OZAKI Nonoka,2024-08-06
Women's Freestyle 76kg,WRE,1,Gold,KAGAMI Yuka,2024-08-11
Women's Freestyle 76kg,WRE,2,Silver,Kennedy Alexis BLADES,2024-08-11
Women's Freestyle 76kg,WRE,3,Bronze,Milaimy de la Carid. MARIN POTRILLE,2024-08-11
Women's Freestyle 76kg,WRE,3,Bronze,Tatiana RENTERIA RENTERIA,2024-08-11
